Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor,obs
2014-12-24,64.85276,65.73512268066406,65.41766357421875,64.69284057617188,65.06658935546875,66.3306884765625,65.07659912109375,66.0868911743164,66.52850341796875,66.46269226074219,66.935,63.343,60.775288
2014-12-25,64.13396,64.49332427978516,63.92386245727539,63.913726806640625,63.66762161254883,65.53125762939453,63.77484893798828,64.83634185791016,65.33845520019531,64.72528076171875,66.962,63.296,61.57471
2014-12-26,63.250923,64.23796844482422,63.608680725097656,62.59181594848633,63.9948616027832,64.91453552246094,64.24983215332031,64.80101776123047,65.67383575439453,62.952293395996094,66.928,63.237,62.117855
2014-12-27,63.076675,63.565460205078125,62.79658126831055,62.54912567138672,62.628177642822266,64.46699523925781,63.85438919067383,63.682559967041016,64.88850402832031,63.788021087646484,66.891,63.178,62.404568
2014-12-28,63.01242,62.99538040161133,62.947975158691406,62.19919204711914,64.18302154541016,64.5999526977539,63.37675094604492,64.71729278564453,65.37649536132812,64.11872100830078,66.86,63.124,62.43486
2014-12-29,63.496567,63.20244216918945,62.94050979614258,62.78215026855469,63.660301208496094,65.41030883789062,63.48611831665039,64.3908462524414,64.69517517089844,64.10047149658203,66.842,63.069,62.520428
2014-12-30,62.891895,62.68981170654297,63.31871032714844,62.675071716308594,64.46595001220703,64.3412094116211,62.87075424194336,65.08589935302734,64.76302337646484,63.67807388305664,66.895,63.024,62.66114
2014-12-31,63.845222,62.49567794799805,62.879581451416016,63.6400260925293,64.78778839111328,63.819908142089844,62.31929016113281,65.19019317626953,64.78875732421875,64.06391906738281,67.039,62.976,62.857
2015-01-01,62.764,62.07122802734375,63.15312957763672,62.68450927734375,66.13733673095703,62.96532440185547,61.89025115966797,66.06651306152344,65.1542739868164,62.965232849121094,67.283,62.892,63.19743
2015-01-02,62.734005,63.291160583496094,63.28646469116211,62.3968620300293,65.77035522460938,64.37223052978516,63.28520965576172,66.13219451904297,64.94955444335938,63.07194137573242,67.606,62.832,63.62743
2015-01-03,62.94948,63.532806396484375,63.82074737548828,62.883880615234375,67.3049087524414,63.91781234741211,63.62984848022461,67.14339447021484,65.57974243164062,63.59635543823242,67.932,62.829,63.86543
2015-01-04,64.20099,65.18303680419922,64.86397552490234,64.60672760009766,67.23019409179688,64.98065948486328,65.75426483154297,67.35160827636719,66.53182220458984,64.54634094238281,68.197,62.863,63.966003
2015-01-05,64.31772,65.53573608398438,65.86396789550781,65.00379180908203,68.1175308227539,64.8102035522461,66.19850158691406,68.24478912353516,67.56200408935547,64.62866973876953,68.34,62.927,64.13014
