Datetime,p15b8k2,p17b8k4,p19b8k6,obs
2018-06-04,-8.384059,-6.150608539581299,-18.836091995239258,19.482254
2018-06-05,-12.536314,-4.038063049316406,-17.61037826538086,19.59338
2018-06-06,-4.9926,-2.5144600868225098,-5.434037208557129,19.704508
2018-06-07,-1.3076077,-4.409816741943359,-1.9817700386047363,19.815634
2018-06-08,-3.5909104,-8.511739730834961,-1.8819262981414795,19.926762
2018-06-09,-4.474225,-6.692300796508789,-2.658437728881836,20.037888
2018-06-10,-4.1363587,-3.2625718116760254,-3.6809539794921875,20.149014
2018-06-11,-3.3940983,1.9537397623062134,0.005234539043158293,20.260141
2018-06-12,0.34793,3.9719197750091553,1.3230782747268677,20.371267
2018-06-13,-0.39455932,0.923911988735199,1.7844648361206055,20.482395
2018-06-14,-6.5280323,-4.884161472320557,-6.923392295837402,20.593523
2018-06-15,-11.530496,-8.168061256408691,-15.069668769836426,20.704649
2018-06-16,-14.670528,-13.97642707824707,-15.861845970153809,20.815777
2018-06-17,-14.564252,-14.391979217529297,-15.861845970153809,20.926903
2018-06-18,-12.39554,-14.581583976745605,-14.969233512878418,21.038029
2018-06-19,-6.447826,-11.605264663696289,-11.080577850341797,21.149157
2018-06-20,-1.3802888,-4.156791687011719,-4.264072895050049,21.260283
2018-06-21,1.9950141,2.879143238067627,2.652235507965088,21.37141
2018-06-22,10.221447,11.639759063720703,9.932982444763184,21.482536
2018-06-23,13.793586,16.518932342529297,10.577476501464844,21.593662
2018-06-24,9.563965,15.216020584106445,12.355562210083008,21.70479
2018-06-25,14.159718,13.646377563476562,13.890487670898438,21.815916
2018-06-26,11.897512,10.473762512207031,13.890487670898438,21.927044
2018-06-27,12.165804,8.828348159790039,11.223021507263184,22.03817
2018-06-28,-1.7755611,7.23938512802124,-0.07968658208847046,22.149296
2018-06-29,-1.1839926,3.883059501647949,-1.3363544940948486,22.260424
2018-06-30,-4.9217834,-2.029456853866577,1.2427657842636108,22.37155
2018-07-01,1.4511122,-5.042233467102051,3.6813318729400635,22.482677
2018-07-02,-3.2917328,-11.4684419631958,-0.9632949233055115,22.593803
2018-07-03,-3.4260774,-4.461890697479248,-0.9632949233055115,22.70493
2018-07-04,-4.0803356,-1.794508934020996,-6.505534648895264,22.816057
2018-07-05,8.117659,6.6536102294921875,10.098855018615723,22.927183
2018-07-06,15.864481,9.228571891784668,14.997538566589355,23.038311
2018-07-07,18.087938,12.240194320678711,15.13318157196045,23.149437
2018-07-08,13.5689535,14.639460563659668,12.646992683410645,23.260563
2018-07-09,13.373207,17.996749877929688,10.275467872619629,23.37169
2018-07-10,15.742898,17.263017654418945,15.795294761657715,23.482817
2018-07-11,14.265288,14.706003189086914,16.98332977294922,23.593945
2018-07-12,9.931355,10.687313079833984,10.963101387023926,23.705072
2018-07-13,9.381329,8.727423667907715,10.917348861694336,23.816198
2018-07-14,10.213502,9.266449928283691,12.569756507873535,23.927326
2018-07-15,13.114051,12.531209945678711,13.515769004821777,24.038452
2018-07-16,15.677616,15.13526439666748,17.004478454589844,24.149578
2018-07-17,20.393032,18.92900848388672,20.488601684570312,24.260706
2018-07-18,22.561663,21.303035736083984,20.68968391418457,24.371832
2018-07-19,22.887272,22.614315032958984,20.7255859375,24.48296
2018-07-20,22.815659,23.47405433654785,20.7255859375,24.594086
2018-07-21,19.91094,21.919729232788086,19.980192184448242,24.705212
2018-07-22,21.816189,20.468645095825195,19.980192184448242,24.81634
2018-07-23,19.771854,18.0068302154541,19.2783260345459,24.927465
2018-07-24,19.231142,17.670085906982422,18.29901695251465,25.038593
