Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor,obs
2014-12-27,63.115112,64.12824249267578,64.57685852050781,61.91648483276367,63.5745964050293,62.83195495605469,62.45082092285156,65.23421478271484,63.42873764038086,63.91049575805664,66.891,63.178,62.404568
2014-12-28,62.800407,64.72266387939453,64.4600601196289,62.020042419433594,64.21240234375,62.9415397644043,62.47175216674805,65.32440185546875,63.454532623291016,63.46209716796875,66.86,63.124,62.43486
2014-12-29,63.7007,64.3112564086914,64.16360473632812,62.79633712768555,64.09329986572266,63.351318359375,62.35051345825195,64.99784851074219,63.35664367675781,63.82817840576172,66.842,63.069,62.520428
2014-12-30,62.93515,64.9639663696289,64.36832427978516,63.10274887084961,64.84747314453125,63.065895080566406,63.38893127441406,65.24423217773438,63.42885208129883,63.17674255371094,66.895,63.024,62.66114
2014-12-31,63.277714,63.94955825805664,64.2911376953125,63.490257263183594,64.67031860351562,62.87799072265625,62.476776123046875,65.31993103027344,62.83134841918945,63.51298141479492,67.039,62.976,62.857
2015-01-01,62.49556,64.36182403564453,64.75732421875,62.881717681884766,65.57380676269531,62.82036590576172,62.74637985229492,65.81654357910156,62.014808654785156,62.921573638916016,67.283,62.892,63.19743
2015-01-02,63.444893,63.97520446777344,64.15512084960938,63.316917419433594,65.32170104980469,62.88665008544922,62.542320251464844,65.20187377929688,62.571258544921875,63.25966262817383,67.606,62.832,63.62743
2015-01-03,63.379578,64.74961853027344,64.57339477539062,63.668846130371094,65.90575408935547,63.32789993286133,63.2641487121582,65.83069610595703,63.02507781982422,62.609588623046875,67.932,62.829,63.86543
2015-01-04,64.986855,65.5353775024414,64.97210693359375,64.96328735351562,66.22074890136719,64.12492370605469,64.16163635253906,66.89617919921875,64.07249450683594,64.2969970703125,68.197,62.863,63.966003
2015-01-05,64.99116,67.35676574707031,66.12300109863281,65.38996887207031,67.33442687988281,64.72967529296875,65.90286254882812,67.90139770507812,64.87357330322266,64.5521011352539,68.34,62.927,64.13014
