Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2016-04-21,60.007366,61.87005615234375,61.228355407714844,59.51722717285156,63.52264404296875,61.842079162597656,62.719642639160156,62.259315490722656,62.67682647705078,63.11962890625,67.961,59.907
2016-04-22,60.80465,62.508323669433594,61.57146072387695,60.555641174316406,63.92204284667969,62.7606201171875,62.977237701416016,62.568389892578125,63.177734375,63.91965103149414,68.19,59.948
2016-04-23,61.403408,62.57727813720703,61.81789016723633,61.379310607910156,64.04077911376953,61.99726867675781,62.672149658203125,62.73358917236328,62.757080078125,63.505680084228516,68.446,60.001
2016-04-24,61.74222,62.008636474609375,60.669795989990234,62.031715393066406,63.90574645996094,62.24165344238281,61.62002182006836,62.05906295776367,62.2236442565918,62.937862396240234,68.755,60.01
2016-04-25,61.827106,62.32036590576172,60.89804458618164,61.894805908203125,64.23783874511719,62.11837387084961,61.841556549072266,62.818580627441406,61.7714958190918,62.13515853881836,69.13,59.986
2016-04-26,61.56649,62.351951599121094,61.0100212097168,61.79576110839844,64.71281433105469,62.904685974121094,61.41240310668945,62.952842712402344,62.38899612426758,61.326297760009766,69.529,60.064
2016-04-27,61.784107,63.23298263549805,62.09055709838867,61.40979766845703,64.7796630859375,62.197547912597656,61.74010467529297,63.68879699707031,63.51591873168945,62.06558609008789,69.907,60.229
2016-04-28,61.42461,62.97938537597656,61.817501068115234,60.71266555786133,64.89240264892578,62.33561325073242,61.43729782104492,63.3463249206543,63.66514205932617,61.69541931152344,70.21,60.406
2016-04-29,61.774574,63.36933517456055,62.17634582519531,61.311485290527344,65.12080383300781,61.85335159301758,61.58527374267578,63.2312126159668,64.1051254272461,62.27596664428711,70.377,60.604
2016-04-30,62.444584,63.22270202636719,62.26319885253906,62.6893196105957,66.14559936523438,62.71155548095703,62.083621978759766,63.30350875854492,64.59750366210938,62.4670295715332,70.4,60.797
2016-05-01,65.233765,64.3350601196289,64.30059814453125,65.02265167236328,67.71367645263672,64.13262939453125,63.69642639160156,65.18710327148438,65.50898742675781,64.87144470214844,70.291,60.997
2016-05-02,66.36045,65.27831268310547,66.04042053222656,66.00117492675781,69.4521255493164,66.15937042236328,64.50969696044922,66.9636459350586,66.79608917236328,65.58719635009766,70.08,61.213
2016-05-03,67.7379,67.1020278930664,67.61717224121094,66.08287048339844,71.08969116210938,67.15409088134766,67.0076675415039,69.3520736694336,68.31958770751953,67.65641784667969,69.8,61.407
